# Yahoo position eligibility, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,positions
William Eklund,LW/RW
Darcy Kuemper,G
Brad Marchand,LW/RW
Blake Coleman,C/LW
Jacob Middleton,D
Joseph Woll,G
Jaccob Slavin,D
Sam Malinski,D
Marcus Pettersson,D
Kaiden Guhle,D
Rasmus Sandin,D
Ryan Pulock,D
Shane Pinto,C
Janis Moser,D
Adin Hill,G
Mario Ferraro,D
Olen Zellweger,D
Jordan Spence,D
Oliver Ekman-Larsson,D
Alex Nedeljkovic,G
Matty Beniers,C
Anton Lundell,C
Kevin Fiala,LW
Erik Cernak,D
Lawson Crouse,LW/RW
Sergei Murashov,G
Charle-Edouard D'Astous,D
Ty Emberson,D
Nico Daws,G
Michael Misa,C
Damon Severson,D
JJ Peterka,LW/RW
Tyler Bertuzzi,LW/RW
Artem Zub,D
Jordan Kyrou,RW
Alex Vlasic,D
Alex Carrier,D
Ryan Leonard,RW
Tom Willander,D
Drew Helleson,D
Connor Murphy,D
Dylan Demelo,D
Niko Mikkola,D
Louis Crevier,D
Matthew Robertson,D
Drew Doughty,D
Pavel Zacha,C/LW
Emil Heineman,LW/RW
Brent Burns,D
Michael Kesselring,D
Valeri Nichushkin,LW/RW
Ryan McDonagh,D
Jordan Binnington,G
Sam Rinzel,D
Anthony Cirelli,C
Elias Pettersson (D),D
Matvei Michkov,LW/RW
Tyler Myers,D
Dante Fabbro,D
Simon Benoit,D
Cole Perfetti,LW/RW
Adam Pelech,D
Kaedan Korczak,D
Ryan Nugent-Hopkins,C/LW
Ivan Barbashev,LW
Philipp Grubauer,G
Jared Spurgeon,D
Trevor Zegras,C/LW/RW
Jonas Brodin,D
Matt Coronato,RW
Hampus Lindholm,D
Josh Doan,RW
Carter Verhaeghe,LW
Matvei Gridin,LW/RW
Rasmus Ristolainen,D
Mikael Granlund,C/LW
Marco Kasper,C/LW
Vasily Podkolzin,LW/RW
Charlie Coyle,C
Jacob Fowler,G
Zach Benson,LW
Jonas Siegenthaler,D
Anthony Stolarz,G
Patrick Kane,RW
Logan Stankoven,C/RW
Luke Evangelista,LW/RW
Zayne Parekh,D
Ross Colton,C/LW
Nick Perbix,D
Cam Fowler,D
Dmitri Voronkov,LW
Ryker Evans,D
Jake Neighbours,LW/RW
Nate Schmidt,D
Joel Edmundson,D
Mason Lohrei,D
Kevin Lankinen,G
Lian Bichsel,D
Nicolas Hague,D
Chris Kreider,LW
Mason Marchment,LW
Ian Moore,D
James Hagens,C
Brett Pesce,D
Tony DeAngelo,D
Mathieu Olivier,RW
Ian Cole,D
Aliaksei Protas,LW/RW
Ivar Stenberg,LW
Viktor Arvidsson,LW/RW
Ryan Lindgren,D
Brayden Schenn,C/LW
Frank Nazar,C
Akira Schmid,G
Jackson Blake,RW
Johnathan Kovacevic,D
Yakov Trenin,C/LW/RW
Parker Wotherspoon,D
Jonathan Aspirot,D
Morgan Frost,C
Mackie Samoskevich,RW
Theo Lindstein,D
Elias Lindholm,C
Jordan Eberle,RW
John Marino,D
Tyson Foerster,LW/RW
Timothy Liljegren,D
Brandon Carlo,D
Maveric Lamoureux,D
Jordan Staal,C
Cody Ceci,D
Kyle Palmieri,RW
Wyatt Kaiser,D
Jalen Chatfield,D
Tristan Luneau,D
Anders Lee,LW
Casey DeSmith,G
Jack Quinn,RW
Pavel Buchnevich,C/LW/RW
Samuel Ersson,G
Jonathan Huberdeau,LW/RW
Joel Farabee,LW/RW
Samuel Girard,D
Ben Kindel,C
Brett Kulak,D
Conor Timmins,D
Zachary Bolduc,LW/RW
Dmitry Kulikov,D
Dennis Hildeby,G
Josh Mahura,D
Jack McBain,C/LW
Pierre-Luc Dubois,C/LW
Alex Wennberg,C
Emil Martinsen Lilleberg,D
Vincent Desharnais,D
Connor McMichael,C/LW
Brian Dumoulin,D
Nick Jensen,D
Sebastian Cossa,G
Mavrik Bourque,C/RW
Chandler Stephenson,C
Michael DiPietro,G
Elias Salomonsson,D
Simon Holmstrom,LW/RW
Jayden Struble,D
Artturi Lehkonen,LW/RW
Adam Wilsby,D
Shane Wright,C/RW
Frank Vatrano,LW/RW
Calum Ritchie,C/RW
Charlie Lindgren,G
Josh Norris,C
Jonathan Marchessault,LW/RW
Ryan McLeod,C
Ridly Greig,C/LW/RW
Matt Duchene,C/RW
Dawson Mercer,C/RW
Logan Mailloux,D
Tyler Tucker,D
Chris Tanev,D
Yegor Chinakhov,LW/RW
Emil Andrae,D
Mats Zuccarello,RW
Roman Kantserov,RW
Elvis Merzlikins,G
Joonas Korpisalo,G
Emmitt Finnie,C/LW
Jean-Gabriel Pageau,C
Ville Husso,G
Parker Kelly,C/LW
Ryan Shea,D
Daniil Tarasov (G),G
Fabian Zetterlund,LW/RW
Albert Johansson,D
Justin Barron,D
Noah Cates,C
Jacob Bernard-Docker,D
Nils Lundkvist,D
Easton Cowan,LW
Igor Chernyshov,LW/RW
Fraser Minten,C
Tyler Toffoli,LW/RW
Christian Dvorak,C
Uvis Balinskis,D
Adam Klapka,RW
Alex Iafallo,LW/RW
Devin Cooley,G
Vitek Vanecek,G
Trevor van Riemsdyk,D
Hunter Brzustewicz,D
Henri Jokiharju,D
Scott Mayfield,D
Gabe Perreault,RW
Taylor Hall,LW
Conor Garland,RW
Anthony Mantha,LW/RW
Arvid Soderblom,G
Shakir Mukhamadullin,D
Ryan Graves,D
Mark Kastelic,C/RW
Boone Jenner,C/LW
Mikael Backlund,C
Erik Haula,C/LW
Keegan Kolesar,RW
Adam Lowry,C
Jamie Benn,C/LW/RW
Andrew Copp,C/LW
Sean Monahan,C
Brett Howden,C/LW
Olli Maatta,D
Eetu Luostarinen,LW
Ryan Poehling,C
Bobby Brink,RW
Claude Giroux,C/LW/RW
Oliver Bjorkstrand,RW
Michael McCarron,C
Zach Bogosian,D
Trevor Moore,LW/RW
Cole Sillinger,C/RW
Nicholas Robertson,RW
Jiri Kulich,C
Kaapo Kakko,RW
Matt Savoie,C/RW
Scott Laughton,C/LW
Marcus Foligno,LW
Yegor Sharangovich,C/LW/RW
Tanner Jeannot,LW/RW
Morgan Barron,C/LW
Declan Chisholm,D
Collin Graf,LW/RW
Drew O'Connor,LW/RW
Tye Kartye,LW
Michael Amadio,LW/RW
Colton Dach,C/LW
Stuart Skinner,G
Justus Annunen,G
Dakota Joshua,C/LW
Jason Zucker,LW
Jake Evans,C
Nikolas Matinpalo,D
Noah Laba,C
Dmitri Simashev,D
Ilya Protas,LW
Jack Roslovic,C/RW
Connor Dewar,C/LW
Arseny Gritsyuk,LW/RW
Oliver Kapanen,C
Joel Hanley,D
Matthew Wood,C/RW
Gabriel Landeskog,LW/RW
Martin Pospisil,C/RW
Alex Killorn,LW/RW
Linus Karlsson,RW
Konsta Helenius,C
Jordan Martinook,LW/RW
Thomas Novak,C/LW
Josh Anderson,RW
Yanni Gourde,C
Ryan Donato,C/LW/RW
Peyton Krebs,C/LW
Justin Brazeau,RW
Spencer Stastney,D
Dalibor Dvorsky,C
Justin Hryckowian,C/LW
Sean Couturier,C
Vincent Iorio,D
Noah Ostlund,C
Nick Paul,C/LW
Evan Rodrigues,C/LW/RW
Alexei Toropchenko,LW/RW
Alex Newhook,C/LW
Garnet Hathaway,RW
