# Fantrax position eligibility, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,positions
Frank Nazar,C/RW
Jake McCabe,D
Olen Zellweger,D
Alex Laferriere,C/LW/RW
Anthony Cirelli,C
Dylan Samberg,D
Martin Fehervary,D
Aaron Ekblad,D
Mats Zuccarello,RW
Carter Verhaeghe,LW
Brent Burns,D
Shane Pinto,C
Matt Roy,D
Jordan Spence,D
Josh Manson,D
Blake Coleman,LW/RW
Damon Severson,D
Brayden McNabb,D
Alex Vlasic,D
Janis Moser,D
Vincent Trocheck,C
Matt Duchene,C/RW
Adam Larsson,D
Ben Kindel,C/RW
Hampus Lindholm,D
Cam Fowler,D
Tom Willander,D
Oliver Ekman-Larsson,D
Ryan Pulock,D
Drew Doughty,D
Simon Holmstrom,LW/RW
Ryan McDonagh,D
Ivar Stenberg,LW
Charlie Coyle,C/RW
Jonas Brodin,D
Marcus Pettersson,D
Yaroslav Askarov,G
Rasmus Sandin,D
Dawson Mercer,C/RW
Kiefer Sherwood,LW/RW
Alex Romanov,D
Arturs Silovs,G
Braden Schneider,D
Pierre-Luc Dubois,C
Artem Zub,D
Chris Kreider,LW
Connor McMichael,C/LW
Chandler Stephenson,C
Alex Carrier,D
Tony DeAngelo,D
Mavrik Bourque,C/RW
Pyotr Kochetkov,G
Morgan Frost,C
Sam Rinzel,D
Jonathan Huberdeau,LW
Alex Wennberg,C
Mikey Anderson,D
Bobby McMann,LW
Charle-Edouard D'Astous,D
Mason Marchment,LW
Calum Ritchie,C
Elias Lindholm,C
Michael Kesselring,D
Matt Savoie,C/RW
James Hagens,C
Mason Lohrei,D
Tyson Foerster,LW
Ivan Barbashev,LW
Jacob Middleton,D
Jonathan Marchessault,RW
Kevin Bahl,D
Conor Garland,RW
Tyler Toffoli,LW/RW
Yegor Chinakhov,LW/RW
Adam Pelech,D
Jamie Oleksiak,D
Nikita Zadorov,D
Ryan McLeod,C
MacKenzie Blackwood,G
William Borgen,D
Gabe Perreault,LW/RW
Dmitri Voronkov,C/LW
Zayne Parekh,D
John Marino,D
Brett Pesce,D
Artturi Lehkonen,LW
Filip Gustavsson,G
Kaiden Guhle,D
Brandon Bussi,G
Tyler Kleven,D
Darcy Kuemper,G
Jared Spurgeon,D
Nick Perbix,D
Drew Helleson,D
Nick Seeler,D
Zach Whitecloud,D
Claude Giroux,LW/RW
Dante Fabbro,D
Joel Farabee,LW
Anthony Mantha,LW/RW
Yegor Sharangovich,C/LW/RW
Anders Lee,LW
Ben Chiarot,D
Mario Ferraro,D
Lawson Crouse,LW/RW
Ross Colton,C/LW/RW
Kaapo Kakko,RW
Tyler Myers,D
Shane Wright,C
Jake Neighbours,LW/RW
Alex Lyon,G
Mackie Samoskevich,LW/RW
Easton Cowan,C/RW
Connor Murphy,D
Rasmus Ristolainen,D
Roman Kantserov,RW
Christian Dvorak,C
Troy Terry,RW
Brett Kulak,D
Mikael Backlund,C
Andrew Copp,C/LW
Louis Crevier,D
Joseph Woll,G
Kaedan Korczak,D
Matthew Robertson,D
Jalen Chatfield,D
Taylor Hall,LW
Dylan Demelo,D
Trevor Moore,LW/RW
Ian Moore,RW/D
Ty Emberson,D
Samuel Girard,D
Igor Chernyshov,LW
Arseny Gritsyuk,LW/RW
Nate Schmidt,D
Jack Roslovic,C/RW
Ridly Greig,C/LW/RW
Jonas Siegenthaler,D
Ryker Evans,D
Niko Mikkola,D
Wyatt Kaiser,D
Theo Lindstein,D
Alex Nedeljkovic,G
Tristan Luneau,D
Cody Ceci,D
Sean Monahan,C
Erik Cernak,D
Jason Zucker,LW/RW
Emil Heineman,LW/RW
Joel Edmundson,D
Ryan Lindgren,D
Oliver Bjorkstrand,LW/RW
Timothy Liljegren,D
Josh Norris,C
Nicolas Hague,D
Alex Iafallo,LW/RW
Radko Gudas,D
Nico Daws,G
Zachary Bolduc,LW/RW
Bobby Brink,RW
Marco Kasper,C/LW
Thomas Novak,C/LW
Adam Wilsby,D
Conor Timmins,D
Philipp Grubauer,G
Sergei Murashov,G
Vasily Podkolzin,LW/RW
Elias Pettersson (D),D
Tristan Jarry,G
Brian Dumoulin,D
Ian Cole,D
Frederik Andersen,G
Nicholas Robertson,LW/RW
Teuvo Teravainen,LW/RW
Nick Jensen,D
Maveric Lamoureux,D
Adin Hill,G
Johnathan Kovacevic,D
Matthew Wood,RW
Ryan Poehling,C
Tyler Seguin,C/RW
Brandon Carlo,D
Connor Brown,RW
Drew O'Connor,LW/RW
Collin Graf,LW/RW
Alex Killorn,LW/RW
Noah Cates,C
Chris Tanev,D
Jonathan Aspirot,D
Ryan Shea,D
Jiri Kulich,C
Brayden Schenn,C/LW
Kent Johnson,LW/RW
Nils Lundkvist,D
Trevor van Riemsdyk,D
Anthony Stolarz,G
Casey Mittelstadt,C/LW
Parker Wotherspoon,D
Evan Rodrigues,C/LW/RW
Frank Vatrano,LW
Linus Karlsson,RW
Jordan Binnington,G
Josh Mahura,D
Noah Ostlund,C
Jean-Gabriel Pageau,C/RW
Emmitt Finnie,LW
Oliver Kapanen,C
Jeremy Lauzon,D
Jordan Staal,C
Olli Maatta,D
Cole Sillinger,C/LW
Michael Amadio,RW
Elias Salomonsson,D
Hunter Brzustewicz,D
Ryan Donato,C/LW/RW
Dmitry Kulikov,D
Henri Jokiharju,D
Kevin Lankinen,G
Erik Haula,C/LW
Jamie Benn,LW
William Karlsson,C
Warren Foegele,LW/RW
Alex Newhook,C/LW/RW
Logan Mailloux,D
Albert Johansson,D
Emil Martinsen Lilleberg,D
Ilya Protas,LW
Matias Maccelli,LW
Jacob Fowler,G
Shakir Mukhamadullin,D
Emil Andrae,D
Justin Barron,D
Nick Paul,C/RW
Barrett Hayton,C
Simon Benoit,D
Gabriel Landeskog,LW
Boone Jenner,C/LW
Fabian Zetterlund,LW
Konsta Helenius,C
Connor Zary,C/LW
Mathieu Olivier,RW
Jacob Bernard-Docker,D
Uvis Balinskis,D
Victor Olofsson,LW/RW
Ryan Greene,C/LW
Lian Bichsel,D
Tyler Tucker,D
Declan Chisholm,D
Fraser Minten,C/LW
Sean Couturier,C
Ilya Mikheyev,LW/RW
Jack Drury,C/LW
Scott Mayfield,D
Brett Howden,C/LW
Vincent Desharnais,D
Justin Brazeau,RW
Ryan Graves,D
Sebastian Cossa,G
Jayden Struble,D
Dmitri Simashev,D
Gage Goncalves,LW/RW
Eetu Luostarinen,C/LW
Pius Suter,C/LW
Michael Eyssimont,LW/RW
Casey DeSmith,G
Max Domi,C/RW
Spencer Stastney,D
Akira Schmid,G
Jaden Schwartz,LW
Nicolas Roy,C/RW
Michael DiPietro,G
Jordan Martinook,LW
Cody Glass,C/RW
Dalibor Dvorsky,C
Filip Chytil,C
Jake Evans,C
Zach Bogosian,D
Noah Laba,C
Ryan Strome,C/RW
Danila Yurov,C/LW
Nikolas Matinpalo,D
Kirby Dach,C/RW
Yanni Gourde,C
Peyton Krebs,C/RW
Parker Kelly,C/LW
Braeden Bowman,RW
Berkly Catton,C/LW
Adam Lowry,C
J.T. Compher,C
Frederick Gaudreau,C/RW
Jonathan Drouin,LW/RW
Vincent Iorio,D
Scott Laughton,LW
Michael Carcone,LW/RW
Adam Boqvist,D
Joel Hanley,D
