# Player ages, generated by make_reference.py
# Re-run that script when the workbooks are republished.
# Hand edits are fine: this is plain CSV, one player per
# line, and '#' starts a comment.
name,age
Rasmus Ristolainen,31
Mikael Granlund,34
Marco Kasper,22
Vasily Podkolzin,25
Charlie Coyle,34
Jacob Fowler,21
Zach Benson,21
Jonas Siegenthaler,29
Anthony Stolarz,32
Patrick Kane,26
Logan Stankoven,23
Luke Evangelista,24
Zayne Parekh,20
Ross Colton,29
Nick Perbix,28
Cam Fowler,34
Dmitri Voronkov,25
Ryker Evans,24
Jake Neighbours,24
Nate Schmidt,35
Joel Edmundson,33
Mason Lohrei,25
Kevin Lankinen,31
Lian Bichsel,22
Nicolas Hague,27
Chris Kreider,35
Mason Marchment,31
Ian Moore,24
James Hagens,19
Brett Pesce,31
Tony DeAngelo,30
Mathieu Olivier,29
Ian Cole,37
Aliaksei Protas,25
Ivar Stenberg,18
Viktor Arvidsson,33
Ryan Lindgren,28
Brayden Schenn,35
Frank Nazar,22
Akira Schmid,26
Jackson Blake,23
Johnathan Kovacevic,29
Yakov Trenin,29
Parker Wotherspoon,29
Jonathan Aspirot,27
Morgan Frost,27
Mackie Samoskevich,23
Theo Lindstein,21
Elias Lindholm,31
Jordan Eberle,36
John Marino,29
Tyson Foerster,24
Timothy Liljegren,27
Brandon Carlo,29
Maveric Lamoureux,22
Jordan Staal,37
Cody Ceci,32
Kyle Palmieri,35
Wyatt Kaiser,24
Jalen Chatfield,30
Tristan Luneau,20
Anders Lee,36
Casey DeSmith,35
Jack Quinn,24
Pavel Buchnevich,31
Samuel Ersson,26
Jonathan Huberdeau,33
Joel Farabee,26
Samuel Girard,28
Ben Kindel,19
Brett Kulak,32
Conor Timmins,27
Zachary Bolduc,23
Dmitry Kulikov,35
Dennis Hildeby,25
Josh Mahura,28
Jack McBain,26
Pierre-Luc Dubois,28
Alex Wennberg,31
Emil Martinsen Lilleberg,25
Vincent Desharnais,30
Connor McMichael,25
Brian Dumoulin,34
Nick Jensen,35
Sebastian Cossa,23
Mavrik Bourque,24
Chandler Stephenson,32
Michael DiPietro,27
Elias Salomonsson,21
Simon Holmstrom,25
Jayden Struble,24
Artturi Lehkonen,31
Adam Wilsby,26
Shane Wright,22
Frank Vatrano,32
Calum Ritchie,21
Charlie Lindgren,32
Josh Norris,27
Jonathan Marchessault,35
Ryan McLeod,26
Ridly Greig,24
Matt Duchene,35
Dawson Mercer,24
Logan Mailloux,23
Tyler Tucker,26
Chris Tanev,36
Yegor Chinakhov,25
Emil Andrae,24
Mats Zuccarello,38
Roman Kantserov,21
Elvis Merzlikins,32
Joonas Korpisalo,32
Emmitt Finnie,21
Jean-Gabriel Pageau,33
Ville Husso,31
Parker Kelly,27
Ryan Shea,29
Daniil Tarasov (G),27
Fabian Zetterlund,27
Albert Johansson,25
Justin Barron,24
Noah Cates,27
Jacob Bernard-Docker,26
Nils Lundkvist,26
Easton Cowan,21
Igor Chernyshov,20
Fraser Minten,22
Tyler Toffoli,34
Christian Dvorak,30
Uvis Balinskis,30
Adam Klapka,25
Alex Iafallo,32
Devin Cooley,29
Vitek Vanecek,30
Trevor van Riemsdyk,35
Hunter Brzustewicz,21
Henri Jokiharju,27
Scott Mayfield,33
Gabe Perreault,21
Taylor Hall,34
Conor Garland,30
Anthony Mantha,19
Arvid Soderblom,27
Shakir Mukhamadullin,24
Ryan Graves,31
Mark Kastelic,27
Boone Jenner,33
Mikael Backlund,37
Erik Haula,35
Keegan Kolesar,29
Adam Lowry,33
Jamie Benn,37
Andrew Copp,32
Sean Monahan,31
Brett Howden,28
Olli Maatta,32
Eetu Luostarinen,27
Ryan Poehling,27
Bobby Brink,25
Claude Giroux,19
Oliver Bjorkstrand,31
Michael McCarron,31
Zach Bogosian,36
Trevor Moore,31
Cole Sillinger,23
Nicholas Robertson,24
Jiri Kulich,22
Kaapo Kakko,25
Matt Savoie,22
Scott Laughton,32
Marcus Foligno,35
Yegor Sharangovich,28
Tanner Jeannot,29
Morgan Barron,27
Declan Chisholm,26
Collin Graf,23
Drew O'Connor,28
Tye Kartye,25
Michael Amadio,30
Colton Dach,23
Stuart Skinner,27
Justus Annunen,26
Dakota Joshua,30
Jason Zucker,34
Jake Evans,30
Nikolas Matinpalo,27
Noah Laba,23
Dmitri Simashev,21
Ilya Protas,20
Jack Roslovic,29
Connor Dewar,27
Arseny Gritsyuk,25
Oliver Kapanen,23
Joel Hanley,35
Matthew Wood,21
Gabriel Landeskog,33
Martin Pospisil,26
Alex Killorn,36
Linus Karlsson,26
Konsta Helenius,20
Jordan Martinook,34
Thomas Novak,29
Josh Anderson,32
Yanni Gourde,34
Ryan Donato,30
Peyton Krebs,25
Justin Brazeau,28
Spencer Stastney,26
Dalibor Dvorsky,21
Justin Hryckowian,25
Sean Couturier,33
Vincent Iorio,23
Noah Ostlund,22
Nick Paul,31
Evan Rodrigues,33
Alexei Toropchenko,27
Alex Newhook,25
Garnet Hathaway,34
Jack Drury,26
Warren Foegele,30
Casey Mittelstadt,27
William Karlsson,33
Troy Terry,28
Cole Koepke,28
Tyler Seguin,34
Adam Boqvist,26
Steven Lorentz,30
Connor Zary,24
Ryan Greene,22
Zemgus Girgensons,32
Barrett Hayton,26
Teuvo Teravainen,31
Teddy Blueger,19
Danila Yurov,22
Trent Frederic,28
Zachary L'Heureux,23
Connor Brown,32
Noel Acciari,34
Pius Suter,30
Matias Maccelli,25
Paul Cotter,26
Kirby Dach,25
Michael Carcone,30
Michael Eyssimont,29
Samuel Helenius,23
Casey Cizikas,35
Gage Goncalves,25
Michael Rasmussen,27
Nicolas Roy,29
Nino Niederreiter,33
Kent Johnson,23
Jaden Schwartz,34
Jason Dickinson,31
Jake Christiansen,26
Brandon Duhaime,29
Nick Foligno,38
Aatu Raty,23
Justin Sourdif,24
William Carrier,31
Alex Steeves,26
Filip Chytil,26
Alex Texier,26
Nic Dowd,36
Sam Carrick,34
Nick Cousins,33
Colton Sissons,32
J.T. Compher,31
Nick Lardis,21
Vladislav Namestnikov,33
Phillip Danault,33
Sean Kuraly,33
Nick Bjugstad,34
Anthony Beauvillier,29
Cody Glass,27
Ilya Mikheyev,31
Ethen Frank,28
Marat Khusnutdinov,24
Sam Steel,28
Dominic James,24
Liam Ohgren,22
Nils Hoglander,25
Ondrej Palat,35
Blake Lizotte,28
Arttu Hyry,25
Alex Kerfoot,32
Nate Danielson,21
Alex Bump,22
Victor Olofsson,31
Conor Geekie,22
Joe Veleno,26
Berkly Catton,20
Eric Robinson,31
Radek Faksa,32
Ryan Strome,33
Brandon Tanev,34
Reid Schaefer,22
Kasperi Kapanen,30
Joel Armia,33
Frederick Gaudreau,33
Pontus Holmberg,27
Denver Barkey,21
Max Domi,31
Mason Appleton,30
