#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
135,Brock Faber,Wild,D,83.5,467.6,82,40,11.1,28.4,6.7,35,10,23,2,1,6,6.5,138,24.1,0,136.8,43.9,—,—,—,—,—,—,—,—,—,—
136,Thomas Harley,Stars,D,115.0,466.0,78,41,9.1,31.9,6.5,30,8,26,1,1,6,6.9,130.4,22.8,0,139.6,48.5,—,—,—,—,—,—,—,—,—,—
137,Matt Duchene,Stars,"C,RW",202.3,464.0,80,58,20.6,37.8,4.6,21,15,26,3,5,11,16.8,126.9,16.4,382.8,32.2,42.4,—,—,—,—,—,—,—,—,—,—
138,Luke Evangelista,Predators,"LW,RW",—,462.9,78,58,19.2,38.4,'-5,28,16,26,3,3,12,15,167,16.8,0.5,23.8,38.7,—,—,—,—,—,—,—,—,—,—
139,Shea Theodore,Knights,D,100.7,461.3,73,46,10.6,35.7,8,30,9,31,2,1,5,7.6,141.9,21.9,0,96,18.2,—,—,—,—,—,—,—,—,—,—
140,Matvei Michkov,Flyers,"LW,RW",202.6,458.7,82,57,22.8,34.2,'-0.2,55,18,27,3,5,7,11.4,156,14.2,1.1,22.3,39.9,—,—,—,—,—,—,—,—,—,—
141,Charlie McAvoy,Bruins,D,99.6,458.5,73,45,9.5,35,'-3.2,62,7,23,1,2,12,13.9,118.6,24.3,0,133.4,109.5,—,—,—,—,—,—,—,—,—,—
142,Matty Beniers,Kraken,C,—,457.5,82,53,22.7,29.9,'-8.7,25,17,24,3,5,6,10.8,143,19.7,576.5,68.8,49.7,—,—,—,—,—,—,—,—,—,—
143,Blake Coleman,Wild,"C,LW",—,457.1,80,44,22.9,21.4,4.4,49,19,20,4,2,1,2.2,182.4,17.1,20.2,56.7,158.3,—,—,—,—,—,—,—,—,—,—
144,Josh Doan,Sabres,RW,202.9,455.4,82,51,23,28.4,1.3,27,18,22,4,5,6,11.6,158,15.6,5.2,35.8,82.2,—,—,—,—,—,—,—,—,—,—
145,Luke Hughes,Devils,D,157.0,454.7,76,51,9.2,41.2,1.6,34,8,25,1,1,17,18.1,143,23,0,66.6,28,—,—,—,—,—,—,—,—,—,—
146,Dougie Hamilton,Devils,D,108.3,453.1,73,38,10.9,27.4,1.3,45,8,19,2,3,8,11.4,183.7,21,0,87.4,80.3,—,—,—,—,—,—,—,—,—,—
147,Jordan Eberle,Kraken,RW,—,452.6,82,54,22.1,31.8,'-8.5,29,18,23,3,4,9,13.1,153,18.9,12.8,45.9,54,—,—,—,—,—,—,—,—,—,—
148,Brock Boeser,Canucks,"LW,RW",206.6,447.4,75,53,24.8,28.2,'-11.6,20,17,16,4,8,12,19.3,153.7,19.5,32.4,32.1,69.2,—,—,—,—,—,—,—,—,—,—
149,Viktor Arvidsson,Red Wings,"LW,RW",—,446.4,70,46,21.9,24.5,'-4,30,18,18,3,4,6,9.9,181.6,16.9,12.3,41.8,42.7,—,—,—,—,—,—,—,—,—,—
150,Chris Kreider,Ducks,LW,—,446.3,77,48,24.6,23.2,1.8,35,13,15,4,11,8,18.3,154.8,17.8,22.6,26.4,86.2,—,—,—,—,—,—,—,—,—,—
151,Charlie Coyle,Blue Jackets,C,—,446.3,84,54,20.8,32.7,'-1.3,29,15,27,3,5,5,9.6,129.1,18,565.2,57.9,117.7,—,—,—,—,—,—,—,—,—,—
152,Victor Hedman,Lightning,D,89.2,444.4,79,45,6.6,38.6,6,41,5,24,1,2,14,15.9,117.9,18.7,0,100.5,53.3,—,—,—,—,—,—,—,—,—,—
153,Mattias Ekholm,Oilers,D,158.1,444.1,81,39,7.5,31.9,9.1,40,7,31,1,0,1,3.4,141.3,21.6,0,119.3,76.7,—,—,—,—,—,—,—,—,—,—
154,Jake DeBrusk,Canucks,"LW,RW",206.6,442.4,80,45,24.7,20.6,'-10.1,23,11,14,4,13,7,20,169.6,16.2,8.6,39.4,81.5,—,—,—,—,—,—,—,—,—,—
155,Ivan Barbashev,Knights,LW,206.8,441.7,81,57,20.3,36.2,7.4,25,19,34,3,1,2,3.7,124.7,17.1,59,40.7,140.8,—,—,—,—,—,—,—,—,—,—
156,Trevor Zegras,Flyers,"C,LW,RW",139.1,441.5,75,54,20.6,33.6,'-0.2,45,15,27,3,6,6,12.1,140,18.2,132.4,33.7,59,—,—,—,—,—,—,—,—,—,—
157,Mason McTavish,Blues,C,205.1,440.8,76,52,21.5,30.9,'-5.2,46,17,25,3,5,6,11,155,17.3,426.1,37.1,93.3,—,—,—,—,—,—,—,—,—,—
158,Vince Dunn,Kraken,D,127.9,440.8,76,45,11.4,33.8,'-9.4,51,9,21,2,3,13,15.7,149.4,22.2,0,90.1,46.5,—,—,—,—,—,—,—,—,—,—
159,Jack Quinn,Sabres,RW,—,440.4,79,52,21.9,30.1,1.3,25,18,23,3,4,7,10.3,152.6,15.7,6.2,28.1,60.5,—,—,—,—,—,—,—,—,—,—
160,Anton Frondell,Blackhawks,C,199.9,437.9,70,37,18,19,'-7,24,14,14,3,4,5,9,201,16,185,69,53,—,—,—,—,—,—,—,—,—,—
161,Brandon Montour,Kraken,D,117.6,437.7,79,36,12.8,23.1,'-10.7,54,11,16,2,1,7,8,195.2,23.2,0,98.2,95.7,—,—,—,—,—,—,—,—,—,—
162,Jonathan Marchessault,Predators,"LW,RW",—,436.7,80,48,21.1,27.4,'-4.8,38,15,18,3,6,9,15.1,177,17,17.4,20.6,92.8,—,—,—,—,—,—,—,—,—,—
163,Tyler Toffoli,Sharks,"LW,RW",—,435.8,80,47,21.3,25.6,0.7,21,15,19,3,6,7,12.6,169.1,12.8,31.1,26.8,56.5,—,—,—,—,—,—,—,—,—,—
164,Anders Lee,Utah,LW,—,434.9,83,43,20.9,22.3,1.3,42,17,20,3,3,2,7.8,180.5,15.4,46.4,39.6,112.4,—,—,—,—,—,—,—,—,—,—
165,Alex Laferriere,Kings,"C,LW,RW",203.8,434.8,82,44,21.4,22.8,1.7,29,18,20,3,3,3,5.5,175.5,16.5,80.4,42.9,173.6,—,—,—,—,—,—,—,—,—,—
166,Patrick Kane,Blackhawks,RW,184.4,434.7,70,53,17.8,35.2,'-7.5,22,14,24,3,3,12,18.4,158.2,16.3,3.4,22.9,27.6,—,—,—,—,—,—,—,—,—,—
167,JJ Peterka,Bruins,"LW,RW",192.2,434.2,81,53,25.1,28.3,'-2.7,32,22,25,4,3,4,6.6,157.7,16.6,6.8,20.7,31.4,—,—,—,—,—,—,—,—,—,—
168,Matvei Gridin,Flames,"LW,RW",—,431.4,76,48,19.8,28.6,'-9.2,26,16,18,3,4,10,14.4,152,16,0.9,51,58,—,—,—,—,—,—,—,—,—,—
169,Aliaksei Protas,Capitals,"LW,RW",202.5,429.2,79,52,20.9,30.9,3.9,25,19,29,3,0,1,1,140.7,17.4,39.1,43.8,40.3,—,—,—,—,—,—,—,—,—,—
170,Travis Sanheim,Flyers,D,198.5,427.5,83,36,9.1,26.9,'-0.3,38,8,23,1,0,2,1.9,112.7,24.5,0,160.7,71.5,—,—,—,—,—,—,—,—,—,—
171,Jonathan Huberdeau,Flames,"LW,RW",—,427.0,82,50,18.7,31.3,'-10.4,45,12,21,3,6,10,15.8,138.6,19.4,7.9,54.1,62.6,—,—,—,—,—,—,—,—,—,—
172,Will Cuylle,Rangers,"LW,RW",—,426.6,84,46,22.5,23.5,'-4.6,51,19,20,3,3,3,6.3,152,16.5,8.1,57.4,300.5,—,—,—,—,—,—,—,—,—,—
173,Elias Lindholm,Bruins,C,—,426.5,82,45,16.9,28.4,'-2.6,32,12,19,3,4,9,13.6,134.6,17.9,750.9,68.4,80.5,—,—,—,—,—,—,—,—,—,—
174,Morgan Rielly,Maple Leafs,D,197.9,426.1,80,38,7.9,29.7,2,32,7,21,1,1,8,10.5,127.2,20.6,0,120.4,44.8,—,—,—,—,—,—,—,—,—,—
175,Ryan Hartman,Wild,"C,RW",—,424.7,77,38,18.8,19.1,4.4,51,15,16,3,4,3,6.3,158.8,16.4,365.7,71.2,77.5,—,—,—,—,—,—,—,—,—,—
176,Cole Perfetti,Jets,"LW,RW",—,424.6,74,50,21.3,28.7,'-5,25,17,22,3,4,7,11.1,144.5,17.1,34.1,39.7,66.1,—,—,—,—,—,—,—,—,—,—
177,Mike Matheson,Canadiens,D,165.9,424.5,80,33,7.4,25.4,3.9,45,7,24,1,0,1,4.4,121.3,23.3,0,152.7,66.8,—,—,—,—,—,—,—,—,—,—
178,Anthony Cirelli,Lightning,C,205.1,423.1,78,49,20.9,28.1,5,38,17,25,3,2,2,3.8,123.9,16.8,555.2,56.2,59.1,—,—,—,—,—,—,—,—,—,—
179,Bobby McMann,Kraken,"LW,RW",206.5,422.9,78,44,24.3,19.4,'-8.2,35,21,17,4,3,2,5.5,190.9,17.5,27.7,33.1,178.6,—,—,—,—,—,—,—,—,—,—
180,Pierre-Luc Dubois,Capitals,"C,LW",—,422.1,81,52,16.2,35.9,3.7,53,11,30,3,5,6,10.9,120.2,16.6,503.1,43.9,74.8,—,—,—,—,—,—,—,—,—,—
181,Pavel Buchnevich,Blues,"C,LW,RW",—,421.0,79,50,19.8,30.4,'-5.2,31,15,20,3,4,10,14,140.3,18.5,76.9,36.7,44.7,—,—,—,—,—,—,—,—,—,—
182,Dawson Mercer,Devils,"C,RW",—,420.7,84,46,22.3,23.6,1.3,29,18,20,3,4,3,6.9,136.2,17.6,127,53.5,43.5,—,—,—,—,—,—,—,—,—,—
183,Sean Walker,Hurricanes,D,206.8,416.3,80,28,9.2,19.1,12,51,9,18,1,0,1,0.9,153.7,21.2,0,120.6,123.1,—,—,—,—,—,—,—,—,—,—
184,Pavel Zacha,Bruins,"C,LW",198.5,416.1,80,52,20.9,31,'-2.3,29,14,23,3,7,7,14,128.5,16.6,485.6,27.7,71.4,—,—,—,—,—,—,—,—,—,—
185,Filip Hronek,Canucks,D,170.5,415.8,76,48,7.4,40.9,'-17.9,40,6,29,1,1,12,13.2,124.9,27,0.3,104.8,125.4,—,—,—,—,—,—,—,—,—,—
186,Noah Hanifin,Knights,D,203.3,415.2,81,33,7,26.1,8.7,26,6,22,1,0,4,6,134.6,21.7,0,118.3,47.9,—,—,—,—,—,—,—,—,—,—
187,Shane Pinto,Senators,C,—,414.6,77,44,21.1,23.3,0.4,39,17,21,3,3,1,5.6,143.8,17.6,453,53.4,88.1,—,—,—,—,—,—,—,—,—,—
188,Anton Lundell,Panthers,C,—,412.9,76,43,18.5,24.7,8,37,16,20,3,2,4,5.5,149.3,16.6,575.4,41.7,85.3,—,—,—,—,—,—,—,—,—,—
189,Jacob Trouba,Sharks,D,185.1,408.5,80,24,6.2,18.2,1.3,48,6,17,1,0,1,1,131.2,21.7,0,175.8,157.7,—,—,—,—,—,—,—,—,—,—
190,Artturi Lehkonen,Avalanche,"LW,RW",198.6,408.1,70,46,21,24.8,8,27,18,22,3,2,3,5.2,135.8,18.6,6.8,34.3,67.9,—,—,—,—,—,—,—,—,—,—
191,Tyson Foerster,Flyers,"LW,RW",205.0,408.0,79,40,25.2,14.5,'-0.2,42,21,12,4,4,2,6.6,142.7,17,0.3,57.6,82.5,—,—,—,—,—,—,—,—,—,—
192,Jason Zucker,Sabres,LW,—,405.9,68,47,21.5,25.4,1,36,13,17,3,9,8,17.1,128.7,15.6,21.7,23.3,78.6,—,—,—,—,—,—,—,—,—,—
193,Darnell Nurse,Sharks,D,197.1,404.5,80,27,6.8,19.8,1.3,65,6,19,1,0,0,1.8,147.4,20.2,0,145.6,137.5,—,—,—,—,—,—,—,—,—,—
194,Esa Lindell,Stars,D,195.7,403.9,83,29,6.1,22.9,6.1,27,6,21,1,0,1,0.9,102.5,21.9,0,169.4,93.3,—,—,—,—,—,—,—,—,—,—
195,Colton Parayko,Blues,D,204.0,400.9,81,26,8.5,17.4,'-7.7,28,8,17,1,0,0,1,122.2,22.8,0,183.7,105.7,—,—,—,—,—,—,—,—,—,—
196,Ivan Provorov,Blue Jackets,D,196.5,400.3,84,31,7.6,23.3,'-1.9,37,7,19,1,1,3,4.3,119.8,23.3,0,148.9,63,—,—,—,—,—,—,—,—,—,—
197,Alexander Wennberg,Sharks,C,—,399.6,82,46,15.2,30.5,1,25,10,23,2,5,7,11.6,86.5,19.2,592.8,83.3,41.9,—,—,—,—,—,—,—,—,—,—
198,Egor Chinakhov,Penguins,"LW,RW",204.1,398.6,74,44,22.2,22.2,'-1.7,18,21,20,3,1,2,3.5,152.5,16.3,0.5,35.7,82.9,—,—,—,—,—,—,—,—,—,—
199,Cole Hutson,Capitals,D,90.0,397.8,74,38,11,27,4,53,10,23,2,1,4,5,132,18,0,87,83,—,—,—,—,—,—,—,—,—,—
200,Ben Kindel,Penguins,C,—,396.7,81,41,18.7,21.9,'-1.4,29,15,16,3,3,6,9.2,147,13.5,305.2,49,45.8,—,—,—,—,—,—,—,—,—,—
201,Mason Marchment,Sharks,LW,205.7,396.5,72,48,19.9,28.2,0.9,50,16,24,3,4,5,8.6,128.3,16.6,9.2,29.8,92.9,—,—,—,—,—,—,—,—,—,—
202,Tyler Bertuzzi,Blackhawks,"LW,RW",203.0,394.6,80,46,22.3,23.4,'-9.3,40,16,17,3,6,7,13.2,140.5,17.3,14.2,32.9,72.2,—,—,—,—,—,—,—,—,—,—
203,Thomas Chabot,Senators,D,183.7,393.8,68,34,8,25.9,0.4,29,6,20,1,1,6,7.2,119.3,22,0,119.6,48.7,—,—,—,—,—,—,—,—,—,—
204,Connor McMichael,Blues,"C,LW",—,392.9,79,47,18.3,29.1,'-4.9,37,15,24,3,3,4,7,135.6,16.5,262.8,40.5,49,—,—,—,—,—,—,—,—,—,—
205,Anthony Mantha,Devils,"LW,RW",202.5,392.4,76,45,21.3,23.6,0.9,38,14,19,3,7,4,11,120.2,14.3,13.7,38.2,67.4,—,—,—,—,—,—,—,—,—,—
206,Gustav Forsling,Panthers,D,—,390.6,82,31,6.5,24.2,12.4,40,6,23,1,0,1,1.9,138.1,22.7,0,101.9,76.8,—,—,—,—,—,—,—,—,—,—
207,Valeri Nichushkin,Blue Jackets,"LW,RW",206.0,389.7,62,46,20.1,25.7,'-1.1,22,17,23,3,3,3,5.5,143.3,19.5,2,28.5,68.9,—,—,—,—,—,—,—,—,—,—
208,Sean Monahan,Blue Jackets,C,—,387.8,73,47,16.9,30,'-1.1,22,13,22,3,3,7,9.8,125.4,16.9,654.2,36.1,52.1,—,—,—,—,—,—,—,—,—,—
209,Trevor Moore,Kings,"LW,RW",—,386.7,78,41,18.5,22.5,1.5,22,17,21,3,1,1,3.4,153.4,15.8,7.1,37.8,70.8,—,—,—,—,—,—,—,—,—,—
210,K'Andre Miller,Hurricanes,D,202.8,386.0,79,33,8.3,24.6,12.3,48,7,22,1,0,2,2,114.7,22.5,0,106,119.7,—,—,—,—,—,—,—,—,—,—
211,Sam Malinski,Avalanche,D,190.4,383.7,81,32,7.2,24.5,10.3,29,7,24,1,0,0,0.5,131.9,17.3,0,102.2,56.6,—,—,—,—,—,—,—,—,—,—
212,Mikael Backlund,Flames,C,—,383.2,83,40,18.3,21.8,'-10.8,29,16,18,3,1,2,4.9,176.5,18.4,730,39.1,52.8,—,—,—,—,—,—,—,—,—,—
213,Gavin McKenna,Maple Leafs,LW,93.6,383.0,75,45,13,32,2,49,11,28,2,2,4,6,150,17,0,26,65,—,—,—,—,—,—,—,—,—,—
214,Devon Toews,Avalanche,D,194.1,382.8,78,33,6.7,26.3,11.1,35,6,25,1,1,1,2.7,123.2,22.3,0,98.9,43.3,—,—,—,—,—,—,—,—,—,—
215,Owen Power,Sabres,D,205.0,381.6,81,35,7.8,27.6,1.9,27,8,26,1,0,1,1.5,119,22,0,110.5,39,—,—,—,—,—,—,—,—,—,—
216,Mackie Samoskevich,Kraken,RW,—,381.2,76,40,20.2,19.4,'-6.7,28,15,13,3,5,7,11.9,149,15.5,0.9,37.9,129.4,—,—,—,—,—,—,—,—,—,—
217,Neal Pionk,Jets,D,—,380.7,79,31,7.9,23,'-6.5,50,6,17,1,2,5,7.4,134.6,22.4,0,118.4,161.4,—,—,—,—,—,—,—,—,—,—
218,Brayden Schenn,Islanders,"C,LW",—,380.2,83,41,16.9,24.5,'-3.5,52,14,20,3,3,5,8.2,134.3,17.9,511.6,50.5,188.1,—,—,—,—,—,—,—,—,—,—
219,William Karlsson,Knights,C,—,380.1,70,40,17.9,21.6,4.9,19,14,19,3,2,2,4.5,131.1,15,473.2,49.5,32.1,—,—,—,—,—,—,—,—,—,—
220,Oliver Bjorkstrand,Rangers,RW,—,379.0,82,41,16.5,24,'-3.9,23,14,21,3,3,3,10.9,146.8,15.7,8.7,37.9,89.6,—,—,—,—,—,—,—,—,—,—
221,Frank Nazar,Blackhawks,C,—,378.5,72,45,20.1,25.3,'-7.5,32,17,19,3,3,6,9,124,17.1,347.4,42.1,47.1,—,—,—,—,—,—,—,—,—,—
222,Conor Garland,Blue Jackets,RW,—,378.4,80,40,16.2,24,'-1.1,38,13,17,3,3,7,10.1,142.9,15.6,5.9,38.6,52.2,—,—,—,—,—,—,—,—,—,—
223,Jake McCabe,Maple Leafs,D,—,378.2,78,28,4.9,23.1,2.1,52,5,22,1,0,0,0.1,78.9,22.2,0,181,136.9,—,—,—,—,—,—,—,—,—,—
224,Morgan Frost,Flames,C,—,377.3,74,42,17.5,24.8,'-8.3,28,13,14,3,5,11,15.3,125.3,16.3,486.5,46.3,64,—,—,—,—,—,—,—,—,—,—
225,Brent Burns,Avalanche,D,191.4,376.8,84,27,7.8,19.6,10,36,8,18,1,0,1,2.9,149.9,18.7,0,90.9,25.3,—,—,—,—,—,—,—,—,—,—
226,Tyler Seguin,Stars,"C,RW",—,373.6,65,47,19.4,27.3,3.9,20,16,25,3,3,2,7.1,115.9,16.9,300.6,21.7,57.5,—,—,—,—,—,—,—,—,—,—
227,Justin Faulk,Red Wings,D,201.9,372.7,79,31,8.1,22.8,'-5.5,42,7,16,1,1,6,7.6,124.3,20.6,0,116.8,90,—,—,—,—,—,—,—,—,—,—
228,Jake Walman,Oilers,D,201.6,372.2,65,26,9.1,17.1,6.9,32,8,16,1,0,1,1.4,119.4,20.2,0,125.1,41.2,—,—,—,—,—,—,—,—,—,—
229,Ryan Leonard,Capitals,RW,204.2,371.8,80,36,16,20.1,3.3,44,13,14,3,3,6,8.4,154,14.7,1.1,33.4,131.9,—,—,—,—,—,—,—,—,—,—
230,Kiefer Sherwood,Sharks,"LW,RW",205.9,370.9,74,38,18.4,19.4,1,41,16,16,3,2,3,5.2,152,17.3,10.2,33.7,364.5,—,—,—,—,—,—,—,—,—,—
231,Jake Neighbours,Blues,"LW,RW",204.0,369.6,78,44,19.1,24.8,'-4.9,43,16,17,3,4,8,11.1,108,16.1,9.5,46.2,160.2,—,—,—,—,—,—,—,—,—,—
232,Kris Letang,Penguins,D,204.0,369.1,79,33,6.3,26.5,'-2.2,49,6,21,1,1,5,7.4,122.5,21.9,0,104.6,108.1,—,—,—,—,—,—,—,—,—,—
233,Taylor Hall,Hurricanes,LW,—,368.4,77,39,16,23.2,8,38,14,20,2,2,3,7.4,126.8,15,21.8,34.7,55.6,—,—,—,—,—,—,—,—,—,—
234,Zach Benson,Sabres,LW,188.7,367.9,74,45,15.2,30.1,1.2,45,13,27,2,2,3,5.1,126,15.6,1.4,30.3,48,—,—,—,—,—,—,—,—,—,—
235,Joel Farabee,Flames,"LW,RW",—,364.5,83,40,19.4,20.2,'-10.4,33,18,17,3,1,3,3.6,143.2,16.3,20.6,52,74.3,—,—,—,—,—,—,—,—,—,—
236,Troy Terry,Ducks,RW,—,364.3,53,42,15.8,26.7,1.3,25,12,20,2,3,7,9.8,129.8,18.4,6.6,23.7,12.6,—,—,—,—,—,—,—,—,—,—
237,Jared Spurgeon,Wild,D,—,362.2,74,25,7.6,17.4,4.4,22,7,13,1,1,4,4.9,97.4,18.4,0,140.7,65.9,—,—,—,—,—,—,—,—,—,—
238,Martin Fehervary,Capitals,D,205.0,361.8,79,26,7.2,19.2,4.3,35,7,18,1,0,0,0,88.4,19.6,0,153.6,239.3,—,—,—,—,—,—,—,—,—,—
239,Chandler Stephenson,Kraken,C,—,360.1,81,48,14.1,33.5,'-7.5,25,10,22,2,3,11,14.3,84.8,19,714.5,51.6,38.4,—,—,—,—,—,—,—,—,—,—
240,Jamie Benn,Stars,"C,LW,RW",—,359.1,79,41,15.3,25.7,3.7,53,13,21,2,2,4,8.1,112.1,13.3,261.5,40,105,—,—,—,—,—,—,—,—,—,—
241,Bowen Byram,Blackhawks,D,112.0,358.0,81,39,9.4,30.1,'-12.2,47,9,27,1,0,3,3.1,94.3,22.5,0,114.5,88,—,—,—,—,—,—,—,—,—,—
242,Lawson Crouse,Utah,"LW,RW",204.7,353.8,82,34,18.5,15.4,1.3,39,17,14,3,1,0,3.5,133.6,16,21.3,51.4,194.3,—,—,—,—,—,—,—,—,—,—
243,Brayden McNabb,Knights,D,—,353.3,81,19,5.7,13.6,7.7,38,5,13,1,0,0,0,88.3,19.7,0,169.8,137.5,—,—,—,—,—,—,—,—,—,—
244,Braeden Bowman,Knights,"LW,RW",—,352.5,77,42,15.3,27.1,5.7,29,13,25,2,2,2,4.3,107,14.5,0.7,36,52.2,—,—,—,—,—,—,—,—,—,—
245,Brady Skjei,Predators,D,—,352.3,83,32,7.8,24,'-6.9,45,7,19,1,1,4,5,131.9,22.4,0,94.6,68.7,—,—,—,—,—,—,—,—,—,—
246,Marco Rossi,Canucks,C,—,351.5,71,46,16.2,29.4,'-11.1,28,13,19,3,4,10,13.8,102.7,17.6,376.8,38.9,61.2,—,—,—,—,—,—,—,—,—,—
247,Ivar Stenberg,Sharks,LW,183.0,351.3,70,38,14,24,1,8,12,21,2,2,3,5,137,14,0,36,49,—,—,—,—,—,—,—,—,—,—
248,Adam Larsson,Kraken,D,—,350.1,84,26,6.4,19.1,'-10.6,44,6,19,1,0,0,0.2,107.2,21.9,0.2,159.6,148.6,—,—,—,—,—,—,—,—,—,—
249,Jamie Drysdale,Flyers,D,—,349.9,78,32,7.7,23.9,'-0.3,32,6,17,1,2,7,8.3,94,21.6,0,107.5,33.6,—,—,—,—,—,—,—,—,—,—
250,Emmitt Finnie,Red Wings,"C,LW",—,349.7,75,40,19.3,20.5,'-4.3,21,16,16,2,3,5,7.9,117,16.1,84.9,39.4,116.8,—,—,—,—,—,—,—,—,—,—
251,Cole Sillinger,Blue Jackets,"C,RW",—,349.0,75,39,15.8,23.3,'-1.2,36,16,23,2,0,0,0.5,130,15.8,352.7,45.4,106.9,—,—,—,—,—,—,—,—,—,—
252,Ryan McDonagh,Lightning,D,—,347.7,76,29,5.7,23.7,6.2,25,5,23,1,0,0,0.3,80.2,19.9,0,133.5,76.9,—,—,—,—,—,—,—,—,—,—
253,Jaccob Slavin,Hurricanes,D,—,347.0,81,23,5.1,18,11.2,20,5,16,1,0,0,0.1,114.9,20.8,0,118.4,29,—,—,—,—,—,—,—,—,—,—
254,Andrew Peeke,Utah,D,—,346.7,81,21,5.8,14.9,1.6,29,6,14,1,0,0,0,83.9,18.1,0,173.6,149,—,—,—,—,—,—,—,—,—,—
255,Jiri Kulich,Sabres,C,—,345.7,73,34,17.9,16.1,1.3,28,16,15,3,2,1,3,130,16.5,270.3,48.3,70.4,—,—,—,—,—,—,—,—,—,—
256,Alexander Nikishin,Hurricanes,D,172.9,345.5,82,28,7,20.6,9.6,39,5,16,1,1,5,5.8,107.1,17.5,0,93.9,114.4,—,—,—,—,—,—,—,—,—,—
257,Oliver Ekman-Larsson,Maple Leafs,D,204.8,345.2,80,30,6.8,23.5,2,61,6,18,1,1,5,7.8,123.2,20.1,0,79.9,103.6,—,—,—,—,—,—,—,—,—,—
258,Ryan McLeod,Sabres,C,—,345.2,82,46,14.9,31,1.3,23,12,25,2,1,4,4.9,92.3,16.7,573.8,36.3,46.2,—,—,—,—,—,—,—,—,—,—
259,J.J. Moser,Lightning,D,205.8,345.0,82,28,6.3,22.1,8,49,6,21,1,0,0,2.1,94.8,22.3,0,113.3,74.2,—,—,—,—,—,—,—,—,—,—
260,Alex Iafallo,Jets,"LW,RW",—,345.0,82,31,14.4,16.9,'-5.7,22,12,14,2,2,2,5.8,132,18.2,10.7,72,107,—,—,—,—,—,—,—,—,—,—
261,Cam York,Flyers,D,—,344.3,76,25,5.3,19.5,'-0.2,36,5,15,1,0,4,4,86.6,22.4,0,149,51.8,—,—,—,—,—,—,—,—,—,—
262,Igor Chernyshov,Sharks,"LW,RW",—,343.0,71,42,15.5,26.3,0.8,28,14,23,2,2,3,4.8,112,14.5,0,32.8,63,—,—,—,—,—,—,—,—,—,—
263,Simon Edvinsson,Red Wings,D,206.5,342.4,78,27,6.7,20.3,'-6.5,61,7,20,1,0,0,0.3,89,22.5,0,153.3,106.6,—,—,—,—,—,—,—,—,—,—
264,Boone Jenner,Capitals,"C,LW",—,342.3,65,34,13.8,20.1,2.6,34,12,19,2,1,1,3.2,117,14.9,355.9,62.2,110.1,—,—,—,—,—,—,—,—,—,—
265,Matt Roy,Capitals,D,—,341.1,80,24,4.2,19.6,4.5,29,4,19,1,0,0,0.7,92.4,20.1,0,143.9,121.4,—,—,—,—,—,—,—,—,—,—
266,Ridly Greig,Senators,"C,LW,RW",—,338.0,78,37,16.2,21.1,0.4,58,15,20,2,1,2,2.4,114,16.4,241.8,48.2,140.3,—,—,—,—,—,—,—,—,—,—
267,Aaron Ekblad,Panthers,D,204.0,337.7,67,27,6.3,20.7,8.9,52,5,15,1,1,5,7.5,108.6,22.1,0,86.6,89.7,—,—,—,—,—,—,—,—,—,—
268,Matthew Wood,Predators,"C,RW",—,336.0,78,36,14.7,21.3,'-4.7,27,11,18,2,4,3,6.6,137,15.1,24.4,35.5,69.4,—,—,—,—,—,—,—,—,—,—
269,Vladislav Gavrikov,Rangers,D,205.3,335.4,81,29,8.3,20.9,'-6,42,8,19,1,0,1,1.3,104.9,22.7,0,117,67.7,—,—,—,—,—,—,—,—,—,—
270,Christian Dvorak,Flyers,C,—,334.2,72,36,14.6,21.6,'-0.2,24,12,19,2,2,2,4.2,108.7,17.8,517.3,54.4,47.4,—,—,—,—,—,—,—,—,—,—
271,Dmitry Orlov,Sharks,D,—,333.5,78,33,6.1,26.9,1.2,41,5,16,1,1,10,10.9,101,21.1,0,74.2,114,—,—,—,—,—,—,—,—,—,—
272,Josh Norris,Sabres,C,—,332.3,55,38,17.9,20,0.9,32,14,13,3,4,7,11.1,93.5,17.1,371,36.8,97.1,—,—,—,—,—,—,—,—,—,—
273,Gabriel Landeskog,Avalanche,"LW,RW",201.2,332.0,63,33,14.6,18.8,6.6,36,12,16,2,2,3,4.8,125.1,16.3,77.4,33.8,87.5,—,—,—,—,—,—,—,—,—,—
274,Teuvo Teravainen,Blackhawks,"LW,RW",—,331.8,76,42,14.6,27.5,'-7.1,18,9,17,2,5,10,14.2,95.4,17,70.3,34.1,30.4,—,—,—,—,—,—,—,—,—,—
275,Zack Bolduc,Canadiens,"LW,RW",—,331.2,77,35,15.5,19.7,2.4,32,12,17,2,4,3,7.1,111,13.6,3.3,40.5,121.9,—,—,—,—,—,—,—,—,—,—
276,Jordan Staal,Hurricanes,C,—,329.0,80,33,14.8,18.6,7.9,30,13,17,2,1,1,1.5,112.3,15.5,801.4,45.9,158,—,—,—,—,—,—,—,—,—,—
277,Hampus Lindholm,Bruins,D,—,329.0,75,27,6.4,20.7,'-3.1,54,6,18,1,1,3,4.5,114.5,21.7,0,101.9,53.5,—,—,—,—,—,—,—,—,—,—
