#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
53,Adam Fantilli,Blue Jackets,C,95.0,605.5,82,67,31.5,35.9,'-1.6,33,27,28,4,5,8,12.1,218,19.9,476,55.7,139.6,—,—,—,—,—,—,—,—,—,—
54,Lane Hutson,Canadiens,D,20.0,603.6,83,79,7.1,72.2,4.3,40,6,52,1,1,20,21.6,116,24.2,0,116,44.9,—,—,—,—,—,—,—,—,—,—
55,Aleksander Barkov,Panthers,C,52.4,603.1,70,73,21.6,51.1,8.6,24,15,33,3,5,17,24.6,165.4,20.9,611.6,53.8,93.4,—,—,—,—,—,—,—,—,—,—
56,Zach Hyman,Oilers,"LW,RW",99.0,600.0,79,62,35.6,26.1,7.4,40,24,19,6,11,7,18.8,220.7,20.4,19.5,31,82.5,—,—,—,—,—,—,—,—,—,—
57,Drake Batherson,Senators,"LW,RW",81.1,593.0,83,72,30.7,41.2,0.4,37,21,25,5,10,16,25.9,176.1,18.4,19,32.9,133.6,—,—,—,—,—,—,—,—,—,—
58,Nikolaj Ehlers,Hurricanes,LW,120.3,592.2,80,67,25.5,41.3,8.8,24,20,26,4,6,16,21.3,199.1,17.4,5.1,34.6,41.1,—,—,—,—,—,—,—,—,—,—
59,Jakob Chychrun,Capitals,D,54.7,587.7,81,52,18.5,33.4,5.4,56,13,24,3,5,10,14.9,199.7,23.8,0,122.8,69.1,—,—,—,—,—,—,—,—,—,—
60,Leo Carlsson,Ducks,C,43.3,585.9,73,69,29.8,39.1,1.9,27,22,24,5,8,15,23.2,182,20.2,383.5,36.7,33.3,—,—,—,—,—,—,—,—,—,—
61,Bo Horvat,Islanders,C,135.1,585.8,80,63,32.1,30.6,'-3.3,32,23,22,5,8,8,15.8,224.7,20.5,751.8,43.6,84.9,—,—,—,—,—,—,—,—,—,—
62,Joel Eriksson Ek,Wild,C,198.7,582.5,77,58,27.6,30.6,4.5,40,18,22,4,10,9,18.4,220.5,20.5,708.5,50.3,137.1,—,—,—,—,—,—,—,—,—,—
63,Adam Fox,Rangers,D,58.0,582.5,78,71,11,59.8,'-5.7,38,7,33,2,4,25,29.5,126.9,23.6,0,115.5,44.6,—,—,—,—,—,—,—,—,—,—
64,Lucas Raymond,Red Wings,RW,69.5,581.2,80,76,24.8,51.3,'-4.9,28,17,28,4,8,23,31.2,159,18.4,8.9,31.5,55.2,—,—,—,—,—,—,—,—,—,—
65,Dylan Larkin,Red Wings,C,93.3,574.9,75,65,30.8,34,'-4.6,42,18,24,5,12,10,21.9,205.6,20,765,34.5,52,—,—,—,—,—,—,—,—,—,—
66,Tomas Hertl,Knights,"C,LW",200.5,568.8,81,60,26.6,33.3,5.9,32,15,21,4,11,12,23.8,180.1,17.8,670.1,54.5,109.8,—,—,—,—,—,—,—,—,—,—
67,Brock Nelson,Avalanche,C,169.3,565.5,83,61,29.3,31.3,8.9,34,21,23,5,7,7,14,182.6,18.7,630.1,54.4,45.7,—,—,—,—,—,—,—,—,—,—
68,Beckett Sennecke,Ducks,RW,103.0,564.4,78,67,27.5,39.1,2.1,49,23,26,4,4,13,17.6,193,18.4,0.5,29.9,100.8,—,—,—,—,—,—,—,—,—,—
69,Robert Thomas,Blues,C,74.0,563.1,76,79,22.8,56.2,'-5.6,32,18,38,4,4,18,21.7,132.4,20.3,697.6,50.1,24.8,—,—,—,—,—,—,—,—,—,—
70,Darren Raddysh,Maple Leafs,D,50.4,560.9,78,60,12.8,46.9,2.1,41,8,29,2,5,18,22.3,169.6,23.4,0,95.1,72.4,—,—,—,—,—,—,—,—,—,—
71,John Tavares,Maple Leafs,C,138.8,560.8,81,64,29,35.2,1.8,37,21,28,5,8,7,15.8,194.3,18.2,775.6,35.9,96,—,—,—,—,—,—,—,—,—,—
72,Andrei Svechnikov,Hurricanes,"LW,RW",118.9,558.7,75,64,26.7,37.7,8.3,58,18,23,4,9,15,23.4,178.6,17.7,2.4,23.6,151.9,—,—,—,—,—,—,—,—,—,—
73,Brandt Clarke,Kings,D,104.6,557.7,82,47,9.1,37.8,2.1,54,7,24,1,2,14,15.6,166,20.4,0,167.1,40.4,—,—,—,—,—,—,—,—,—,—
74,Mikhail Sergachev,Utah,D,93.0,555.6,80,55,10.5,44.9,1.8,44,8,25,2,3,19,22.3,136.5,24.6,0,141.9,83.4,—,—,—,—,—,—,—,—,—,—
75,Travis Konecny,Flyers,"LW,RW",133.0,555.1,80,69,26.8,42.6,'-0.2,52,21,33,4,4,8,12.5,176.7,19.7,15.6,40.3,105.4,—,—,—,—,—,—,—,—,—,—
76,Nazem Kadri,Avalanche,"C,LW",160.8,554.9,83,58,24.8,33.4,8.7,42,19,23,4,6,11,16.8,213.2,17.5,562.7,29.6,59,—,—,—,—,—,—,—,—,—,—
